"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WV03"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-01","    0","    0",,," 1648","0.00","   99","0.0","0.0",,"56","25","  606","  130",,,"  135",,"8.9",,,"13.9","    1",,,,,,,"    1",,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-02","   70","  100",,," 1342","0.19","    0","0.0","0.0",,"45","32","    0","   10",,,"  360",,"12.1",,,"19.5","    1",,,,,,,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-03","   50","   40",,," 1012","0.00","   85","0.0","0.0",,"51","29","  528","  100",,,"   45",,"6.9",,,"15.0",,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-04","   70","  100",,," 1406","0.07","   16","0.0","0.0",,"53","26","   96","  150",,,"  135",,"16.1",,,"21.9",,,,,,,,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-05","  100","  100",,," 2318","0.78","    0","0.0","0.0",,"50","40","    0","  320",,,"  315",,"17.9",,,"30.0","    1",,,,,,,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-06","   40","   20",,," 1212","0.00","   83","0.0","0.0",,"40","26","  516","  350",,,"  360",,"23.9",,,"36.7",,,,,,,,,,,,,,,,,"    1",,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-07","    0","    0",,," 1554","0.00","  100","0.0","0.0",,"44","19","  618","  360",,,"  338",,"10.1",,,"17.2",,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-08","   60","   70",,," 1406","0.00","   56","0.0","0.0",,"48","20","  348","  140",,,"   45",,"8.1",,,"16.1",,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-09","  100","  100",,," 0536","0.03","    0","0.0","0.0",,"40","32","    0","   40",,,"   45",,"12.1",,,"16.1",,,,"    1",,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-10","  100","  100",,," 1100","0.45","    0","0.0","0.0",,"57","38","    0","  110",,,"  113",,"21.0",,,"27.5","    1","    1","    1",,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-11","   40","   30",,," 0042","0.00","   74","0.0","0.0",,"70","46","  462","  320",,,"  248",,"15.0",,,"19.5","    1",,,,,,,"    1",,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-12","   70","   90",,," 0930","0.00","   24","0.0","0.0",,"53","39","  150","   60",,,"   45",,"10.1",,,"13.9",,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-13","  100","  100",,," 0506","0.00","    0","0.0","0.0",,"42","37","    0","   30",,,"   68",,"12.1",,,"15.0",,,,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-14","   80","   80",,," 1736","0.00","   23","0.0","0.0",,"52","36","  144","  120",,,"   90",,"8.9",,,"12.8",,,,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-15","   60","   80",,," 1512","0.00","   80","0.0","0.0",,"61","31","  498","  120",,,"  158",,"12.1",,,"15.0","    1",,,,,,,"    1",,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-16","   90","  100",,," 1118","0.23","    0","0.0","0.0",,"53","46","    0","  100",,,"   90",,"15.0",,,"17.2","    1",,,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-17","   90","   80",,," 1854","0.00","   22","0.0","0.0",,"62","43","  138","  130",,,"  113",,"12.1",,,"16.1","    1","    1",,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-18","  100","  100",,," 1606","0.03","    1","0.0","0.0",,"49","30","    6","  340",,,"  360",,"16.1",,,"21.9","    1","    1",,,,"    1",,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-19","   70","  100",,," 0042","0.00","   16","0.0","0.0",,"42","28","  102","  340",,,"  338",,"12.1",,,"18.3",,,,,,"    1",,,,,,,,,"    1",,"    1",,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-20","   40","   30",,," 1706","0.00","   71","0.0","0.0",,"60","27","  450","   60",,,"   90",,"12.1",,,"17.2","    1","    1",,,,,,"    1",,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-21","  100","  100",,," 0742","0.08","    0","0.0","0.0",,"41","35","    0","   70",,,"   45",,"15.0",,,"19.5","    1",,,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-22","  100","  100",,," 1848","0.00","    0","0.0","0.0",,"45","35","    0","  120",,,"  135",,"12.1",,,"15.0","    1",,,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-23","  100","  100",,," 0948","0.00","    0","0.0","0.0",,"51","43","    0","   20",,,"   23",,"8.9",,,"15.0","    1",,,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-24","   90","   90",,," 1354","0.00","   33","0.0","0.0",,"71","48","  210","  170",,,"  158",,"17.0",,,"19.5","    1",,,,,,,"    1",,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-25","   80","   90",,," 1354","0.00","   18","0.0","0.0",,"75","60","  120","  230",,,"  203",,"16.1",,,"24.2","    1",,,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-26","  100","  100",,," 1636","0.00","   16","0.0","0.0",,"76","62","  102","  150",,,"  158",,"8.9",,,"12.8","    1",,,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-27","   90","   90",,," 2306","0.00","   16","0.0","0.0",,"77","57","  102","  170",,,"  180",,"13.0",,,"20.8","    1","    1",,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-28","   90","   90",,," 1548","0.00","   31","0.0","0.0",,"80","67","  204","  210",,,"  225",,"17.0",,,"26.4",,,,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-29","   50","   30",,," 1554","0.02","   71","0.0","0.0",,"72","45","  456","  340",,,"  338",,"21.9",,,"36.7",,,,,,,,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-30","    0","    0",,," 1336","0.00","  100","0.0","0.0",,"58","32","  642","   30",,,"   45",,"16.1",,,"21.9",,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-01-31","   80","  100",,," 1330","0.05","   30","0.0","0.0",,"54","31","  198","  130",,,"  158",,"23.0",,,"28.9","    1",,,,,,,"    1",,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","1970-02-01","   60","   60",,," 1254","1.08","   58","0.0","0.0",,"64","50","  372","  270",,,"  270",,"25.9",,,"38.0","    1",,"    1",,,,,,,,,,,,"    1",,,,
